Id,GeoID,Geography,Estimate; Total,Margin of Error; Total
1500000US060371173013,060371173013,"Block Group 3, Census Tract 1173.01, Los Angeles County, California",1584,492
1500000US060371173021,060371173021,"Block Group 1, Census Tract 1173.02, Los Angeles County, California",972,211
1500000US060371173022,060371173022,"Block Group 2, Census Tract 1173.02, Los Angeles County, California",1046,295
1500000US060371173023,060371173023,"Block Group 3, Census Tract 1173.02, Los Angeles County, California",1278,343
1500000US060371173024,060371173024,"Block Group 4, Census Tract 1173.02, Los Angeles County, California",1811,450
1500000US060371173031,060371173031,"Block Group 1, Census Tract 1173.03, Los Angeles County, California",2166,345
1500000US060371173032,060371173032,"Block Group 2, Census Tract 1173.03, Los Angeles County, California",1437,379
1500000US060371174041,060371174041,"Block Group 1, Census Tract 1174.04, Los Angeles County, California",1338,364
1500000US060371174042,060371174042,"Block Group 2, Census Tract 1174.04, Los Angeles County, California",1212,382
1500000US060371174043,060371174043,"Block Group 3, Census Tract 1174.04, Los Angeles County, California",1574,323
1500000US060371174051,060371174051,"Block Group 1, Census Tract 1174.05, Los Angeles County, California",3801,414
1500000US060371174071,060371174071,"Block Group 1, Census Tract 1174.07, Los Angeles County, California",3484,469
