GEOID,SUMLEVEL,ST,COUNTY,BLKGRP,Total,Male,MaleUnder5Yrs,Male5to9Yrs,Male10to14Yrs,Male15to17Yrs,Male18to19Yrs,Male20Yrs,Male21Yrs,Male22to24Yrs,Male25to29Yrs,Male30to34Yrs,Male35to39Yrs,Male40to44Yrs,Male45to49Yrs,Male50to54Yrs,Male55to59Yrs,Male60to61Yrs,Male62to64Yrs,Male65to66Yrs,Male67to69Yrs,Male70to74Yrs,Male75to79Yrs,Male80to84Yrs,Male85YrsOrOver,Female,FemaleUnder5Yrs,Female5to9Yrs,Female10to14Yrs,Female15to17Yrs,Female18to19Yrs,Female20Yrs,Female21Yrs,Female22to24Yrs,Female25to29Yrs,Female30to34Yrs,Female35to39Yrs,Female40to44Yrs,Female45to49Yrs,Female50to54Yrs,Female55to59Yrs,Female60to61Yrs,Female62to64Yrs,Female65to66Yrs,Female67to69Yrs,Female70to74Yrs,Female75to79Yrs,Female80to84Yrs,Female85YrsOrOver,COMPONENT,TRACT
15000US060375720023,150,6,37,3,1204,626,60,87,156,0,0,0,9,0,25,41,24,61,29,12,13,18,26,7,17,0,32,9,0,578,44,5,10,71,6,0,0,1,15,64,51,62,38,19,51,27,11,8,51,44,0,0,0,0,572002
15000US060375721001,150,6,37,1,1048,508,13,32,33,51,5,5,0,31,29,11,21,53,62,71,13,13,22,14,5,6,5,13,0,540,22,39,53,5,4,0,5,12,54,28,47,64,18,17,36,16,16,4,38,24,10,6,22,0,572100
15000US060375722011,150,6,37,1,1680,873,183,55,64,28,14,33,26,21,12,101,34,77,116,0,63,0,14,14,0,0,18,0,0,807,0,47,18,39,35,22,10,22,0,56,103,84,57,104,69,0,13,12,0,81,25,0,10,0,572201
15000US060375722012,150,6,37,2,1370,777,9,50,47,37,13,0,41,85,103,55,36,19,126,62,69,0,0,0,0,10,0,0,15,593,11,49,74,99,9,12,0,16,39,39,9,88,11,73,0,0,0,27,37,0,0,0,0,0,572201
15000US060375722013,150,6,37,3,2144,953,22,27,90,19,33,21,5,16,0,26,122,97,27,59,87,14,26,50,10,65,40,54,43,1191,112,51,4,67,0,0,0,15,45,0,104,48,74,15,99,29,100,0,29,115,153,52,79,0,572201
15000US060375722014,150,6,37,4,1679,720,25,27,34,40,33,22,0,47,52,0,44,56,64,100,91,0,40,8,37,0,0,0,0,959,12,13,19,22,28,12,16,58,86,63,58,63,76,45,128,47,64,22,0,21,54,31,21,0,572201
15000US060375722021,150,6,37,1,673,386,40,50,31,0,16,0,0,21,57,26,41,0,24,12,11,0,0,19,13,0,3,0,22,287,0,27,11,0,0,0,0,17,22,23,42,33,9,16,32,0,12,0,9,3,0,0,31,0,572202
15000US060375722022,150,6,37,2,722,374,13,41,39,27,5,0,33,0,0,11,0,87,10,0,41,13,13,0,15,0,0,0,26,348,0,11,86,0,48,0,0,0,0,11,18,34,65,0,36,7,0,8,8,0,0,0,16,0,572202
15000US060375722023,150,6,37,3,1213,555,38,33,66,48,8,0,0,27,32,21,21,85,29,15,28,25,27,3,6,1,9,31,2,658,84,44,7,65,33,0,16,0,50,42,20,105,28,7,65,2,17,2,21,9,23,9,9,0,572202
15000US060375722024,150,6,37,4,1133,493,0,28,17,14,0,0,8,14,40,42,39,25,40,59,15,38,24,20,0,56,8,0,6,640,19,17,16,16,0,9,10,30,16,112,62,15,76,1,27,40,18,23,57,25,20,8,23,0,572202
